,0
  (0, 2)	-0.45251599576686174
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6559529697668617
  (0, 5)	-0.6971811488889386
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4807,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.14450411494624787
  (0, 2)	-0.2723359853505469
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4808,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.5011106208849953
  (0, 2)	-0.45417568657181845
  (0, 3)	0.12087254531625001
  (0, 4)	0.9122479685911209
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4809,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.26627539884293167
  (0, 2)	0.2704409003942626
  (0, 3)	0.6006135240647683
  (0, 4)	2.180155110242256
  (0, 5)	-0.5342595809573962
  (0, 6)	-0.8432546515835623
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 34)	7.482350085235563"
4810,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4574711725379411
  (0, 2)	-0.4338755416346525
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.686383979889925
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4811,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.43120377560002304
  (0, 2)	0.15259733014481588
  (0, 3)	-0.315255617182403
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.061690630661289346
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
4812,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.357995790279955
  (0, 2)	-0.4157404509255831
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	1.6512031083964884
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4813,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.9596711500903589
  (0, 2)	0.7472940941325389
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	3.6340260724296027
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4814,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.4674407327088855
  (0, 2)	0.34239029179583
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4815,"  (0, 0)	1.6330679886231343
  (0, 1)	-0.49892512347181484
  (0, 2)	-0.45407903236520697
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4816,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47777514850555275
  (0, 2)	-0.44692662107595926
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.6902401116752871
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4817,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.4307752041360814
  (0, 2)	-0.3280419469438691
  (0, 3)	0.12087254531625001
  (0, 4)	-0.18882928600065407
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4818,"  (0, 0)	2.164456214062103
  (0, 1)	-0.14877553791925333
  (0, 2)	-0.3728618833239812
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4819,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.7906593501377399
  (0, 2)	0.11485524323742272
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.24929144201914819
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4820,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4663776619959559
  (0, 2)	-0.42280725420326065
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.9227354318262238
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4821,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.29093244162933585
  (0, 2)	-0.2189386785208583
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.3545638397595294
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4822,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.24326892607407546
  (0, 2)	0.4454015836535588
  (0, 3)	0.7314519728143642
  (0, 4)	0.07809853329432162
  (0, 5)	-0.14806798265339702
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4823,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.6410585272097126
  (0, 2)	0.8208037605836912
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.22219526341252607
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4824,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.03332017457564697
  (0, 2)	0.28735814810002763
  (0, 3)	0.03364691281651941
  (0, 4)	0.745418081531761
  (0, 5)	-0.35109332115270364
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4825,"  (0, 0)	-0.6253319694924834
  (0, 1)	7.394715533380897
  (0, 2)	8.453186032120076
  (0, 3)	-0.1408043521829418
  (0, 4)	0.3116603751774254
  (0, 5)	6.614430329335853
  (0, 6)	-0.3625303189081406
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
4826,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.21058046476510814
  (0, 2)	0.2116613350306961
  (0, 3)	0.2953238103157112
  (0, 4)	1.4127376297692005
  (0, 5)	-0.38502728086388877
  (0, 6)	-0.9227354318262238
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4827,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.5012046207737342
  (0, 2)	-0.4543248102048761
  (0, 3)	0.2080981778159806
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4828,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.14877553791925333
  (0, 2)	0.010303007171431258
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.3233291722980976
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4829,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.500781621274409
  (0, 2)	-0.45347977628421593
  (0, 3)	0.2080981778159806
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4830,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.960634648949933
  (0, 2)	1.426668227758178
  (0, 3)	-0.0971915359330765
  (0, 4)	0.44512428482491323
  (0, 5)	0.413770418473839
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 21)	5.7001710839938475
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4831,"  (0, 0)	2.164456214062103
  (0, 1)	-0.5008991211353326
  (0, 2)	-0.45345216079661266
  (0, 3)	0.42616225906530714
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4832,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.058470716777930566
  (0, 2)	-0.3058114794232344
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.42455263166384877
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4833,"  (0, 0)	0.5702915377451966
  (0, 1)	0.5729321078461639
  (0, 2)	2.0979675928086197
  (0, 3)	0.3389366265655765
  (0, 4)	-0.18882928600065407
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.03832926840267432
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 39)	4.472436630062954"
4834,"  (0, 0)	0.5702915377451966
  (0, 1)	0.168850086129634
  (0, 2)	1.1236490053849841
  (0, 3)	0.3389366265655765
  (0, 4)	-0.18882928600065407
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4835,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.22578494676863212
  (0, 2)	0.1904167404174982
  (0, 3)	0.2953238103157112
  (0, 4)	1.4461036071810724
  (0, 5)	-0.4519311673399186
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4836,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.45942167022927416
  (0, 2)	-0.4307605146330033
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.22219526341252607
  (0, 5)	-0.6844559139972441
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4837,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.25372641369628285
  (0, 2)	-0.18392776333742883
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.7031581531562496
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4838,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.39552524585897786
  (0, 2)	-0.38798136278677314
  (0, 3)	-0.315255617182403
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.6360614600909517
  (0, 6)	-0.9227354318262238
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
4839,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.48846763584960745
  (0, 2)	-0.41854618446607567
  (0, 3)	0.46977507531517243
  (0, 4)	0.14483048811806562
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4840,"  (0, 0)	-0.22679080041325675
  (0, 1)	2.224721652739049
  (0, 2)	0.4488921812866125
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	0.6833140302706392
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
4841,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.35473486611089317
  (0, 2)	0.36334768533795386
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	0.1851018036018754
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4842,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.49892512347181484
  (0, 2)	-0.4480422867751315
  (0, 3)	0.46977507531517243
  (0, 4)	1.8464953361235361
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
4843,"  (0, 0)	0.30459742502571213
  (0, 1)	-0.49892512347181484
  (0, 2)	-0.3578114425801974
  (0, 3)	14.731165989021125
  (0, 4)	10.922041192152712
  (0, 5)	-0.6572701849104424
  (0, 6)	3.3799777246919676
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 45)	18.928510797785467"
4844,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.22047395305488185
  (0, 2)	-0.16540605580191364
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.2555612408243981
  (0, 5)	-0.49454142356816816
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4845,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4979616246122407
  (0, 2)	-0.44705917541645496
  (0, 3)	0.2953238103157112
  (0, 4)	1.3460056749454565
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4846,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.6718434907717163
  (0, 2)	0.3299357068867539
  (0, 3)	-0.315255617182403
  (0, 4)	-0.45575710529562985
  (0, 5)	0.22173505556281392
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4847,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.23149544000952288
  (0, 2)	0.6918974260003733
  (0, 3)	1.0367416865634214
  (0, 4)	0.2449284203536814
  (0, 5)	0.22077102261647344
  (0, 6)	-0.9046890710947982
  (0, 8)	3.128039359299917
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
4848,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.902754217458929
  (0, 2)	0.4909339996138353
  (0, 3)	-0.315255617182403
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4849,"  (0, 0)	1.6330679886231343
  (0, 1)	-0.4730751540686056
  (0, 2)	-0.4498262472743029
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.6813710085689546
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4850,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4589751707577642
  (0, 2)	-0.4452696918197629
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.5651086352402918
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4851,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.40649973286924945
  (0, 2)	0.22290636158274885
  (0, 3)	2.0834492765601884
  (0, 4)	0.9456139460029929
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
4852,"  (0, 0)	0.30459742502571213
  (0, 1)	-0.23549043528092795
  (0, 2)	-0.41386259776856055
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.23039639627087463
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4853,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.37935726499587974
  (0, 2)	0.41689687734946046
  (0, 3)	2.0834492765601884
  (0, 4)	0.9456139460029929
  (0, 5)	-0.4841298677476909
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
4854,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.1619355223427053
  (0, 2)	-0.019013594468203325
  (0, 3)	-0.0971915359330765
  (0, 4)	0.44512428482491323
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
4855,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.26627539884293167
  (0, 2)	-0.24127408489438548
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.3015420277108026
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4856,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4056772338427837
  (0, 2)	-0.38425327196033127
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.6518716004109356
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
4857,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47504915173212336
  (0, 2)	-0.42565164942639777
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.22219526341252607
  (0, 5)	-0.6838774942294399
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4858,"  (0, 0)	0.30459742502571213
  (0, 1)	-0.49187513181639414
  (0, 2)	-0.44949486142306366
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4859,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4636751651947113
  (0, 2)	-0.4456286931586054
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4860,"  (0, 0)	1.3673738759036498
  (0, 1)	-0.49187513181639414
  (0, 2)	-0.39923467398510687
  (0, 3)	1.6473211140615356
  (0, 4)	0.1781964655299376
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.0022162120688853
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 31)	7.326117094120656"
4861,"  (0, 0)	2.164456214062103
  (0, 1)	-0.39148325064320333
  (0, 2)	-0.4284049135404441
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4862,"  (0, 0)	2.164456214062103
  (0, 1)	-0.48647013821390495
  (0, 2)	-0.4512318755933095
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4863,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.4101478005224999
  (0, 2)	0.29526170065208435
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	0.09159060780684813
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 21)	5.7001710839938475
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4864,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4387651946788915
  (0, 2)	-0.4314011939453992
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4865,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.6737234885464952
  (0, 2)	1.203844381384889
  (0, 3)	-0.009965903433345894
  (0, 4)	0.5785881944724012
  (0, 5)	0.04493141320396855
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
4866,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.3799738362372993
  (0, 2)	-0.12204421716725444
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.3890251504718859
  (0, 5)	0.06016313375614825
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
4867,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.49605812686527706
  (0, 2)	-0.44986767050570786
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4868,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.498290624222827
  (0, 2)	-0.4539409549271906
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4869,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.28146195283888736
  (0, 2)	-0.09113972499043166
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.16310689661630862
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
4870,"  (0, 0)	2.164456214062103
  (0, 1)	-0.2672153977303211
  (0, 2)	-0.39780695327601767
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	0.004056416279131886
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
4871,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.4962696266149397
  (0, 2)	-0.4421132415867088
  (0, 3)	0.3825494428154418
  (0, 4)	0.011366578470577714
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
4872,"  (0, 0)	-0.6253319694924834
  (0, 1)	2.34114051494223
  (0, 2)	0.7613669466151668
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.355659173060014
  (0, 5)	1.488474347054214
  (0, 6)	0.10321937401141734
