,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
4764,Rwanda,From RDC,N/A - From RDC,Truck,60,11584,58962.56,5.09,0,"Cipla, Patalganga, India",1043,8819.61,India,5921
4765,Zimbabwe,From RDC,N/A - From RDC,Truck,60,21000,41790.0,1.99,0,"Mylan,  H-12 & H-13, India",25880,46111.55,India,6980
4766,Zambia,From RDC,N/A - From RDC,Truck,60,19099,211807.91,11.09,0,"Aurobindo Unit III, India",9459,Freight Included in Commodity Cost,India,6906
4767,Zambia,From RDC,N/A - From RDC,Truck,60,61154,133315.72,2.18,0,"Cipla, Goa, India",7957,Freight Included in Commodity Cost,India,6906
4768,Zimbabwe,From RDC,N/A - From RDC,Truck,90,1482,13782.6,9.3,0,"Strides, Bangalore, India.",90,Freight Included in Commodity Cost,India,6980
4769,Nigeria,From RDC,N/A - From RDC,Air,30,5025,65877.75,13.11,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Invoiced Separately, Nashik,7134
4770,Rwanda,From RDC,N/A - From RDC,Air,60,3408,12098.4,3.55,0,"Strides, Bangalore, India.",Weight Captured Separately,Invoiced Separately,India,5921
4771,Nigeria,From RDC,N/A - From RDC,Air Charter,60,214,1874.64,8.76,0,"Aurobindo Unit III, India",See DN-1311 (ID#:82837),See DN-1311 (ID#:82837),India,7633
4772,Nigeria,From RDC,N/A - From RDC,Air Charter,240,75,142.5,1.9,0,"Aurobindo Unit III, India",See DN-1311 (ID#:82837),See DN-1311 (ID#:82837),India,7633
4773,Nigeria,From RDC,N/A - From RDC,Air Charter,90,24,290.88,12.12,0,"Aurobindo Unit III, India",See DN-1452 (ID#:82272),See DN-1452 (ID#:82272),India,7633
4774,Nigeria,From RDC,N/A - From RDC,Air Charter,60,63,441.0,7.0,0,"Strides, Bangalore, India.",See DN-1452 (ID#:82272),See DN-1452 (ID#:82272),India,7633
4775,Nigeria,From RDC,N/A - From RDC,Air Charter,60,5500,13420.0,2.44,0,Mylan (formerly Matrix) Nashik,836,9341.49, Nashik,7134
4776,Nigeria,From RDC,N/A - From RDC,Air Charter,60,4050,5913.0,1.46,0,"Aurobindo Unit III, India",See DN-1493 (ID#:83374),See DN-1493 (ID#:83374),India,7633
4777,Nigeria,From RDC,N/A - From RDC,Air Charter,60,8383,63123.99,7.53,0,"Aurobindo Unit III, India",See DN-1493 (ID#:83374),See DN-1493 (ID#:83374),India,7633
4778,Zimbabwe,From RDC,N/A - From RDC,Truck,30,4000,23120.0,5.78,0,"Aurobindo Unit III, India",See DN-1500 (ID#:82274),See DN-1500 (ID#:82274),India,6980
4779,Zimbabwe,From RDC,N/A - From RDC,Truck,60,4000,16000.0,4.0,0,"Cipla, Goa, India",See DN-1500 (ID#:82274),See DN-1500 (ID#:82274),India,6980
4780,Haiti,From RDC,N/A - From RDC,Air,60,10167,24807.48,2.44,0,"Aurobindo Unit III, India",487,6113.34,India,14446
4781,Zambia,From RDC,N/A - From RDC,Truck,30,61059,352921.02,5.78,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",4305,9935.88,India,6906
4782,Uganda,From RDC,N/A - From RDC,Air,30,200,1156.0,5.78,0,"Aurobindo Unit III, India",22,709.02,India,5524
4783,Côte d'Ivoire,From RDC,N/A - From RDC,Air,100,2352,11760.0,5.0,0,"Aurobindo Unit III, India",3189,1211.48,India,9091
4784,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,1833,28411.5,15.5,0,"Aurobindo Unit III, India",378,1211.48,India,9091
4785,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,2590,55477.8,21.42,0,Mylan (formerly Matrix) Nashik,257,1211.48, Nashik,8608
4786,Haiti,From RDC,N/A - From RDC,Air,60,108,180.36,1.67,0,"Aurobindo Unit III, India",1857,11091.78,India,14446
4787,Haiti,From RDC,N/A - From RDC,Air,60,990,7454.7,7.53,0,"Aurobindo Unit III, India",109,10331.78,India,14446
4788,Zambia,From RDC,N/A - From RDC,Air,60,16539,40355.16,2.44,0,"Aurobindo Unit III, India",796,4234.42,India,6906
4789,Uganda,From RDC,N/A - From RDC,Air,60,3350,29346.0,8.76,0,Mylan (formerly Matrix) Nashik,See DN-1541 (ID#:82846),See DN-1541 (ID#:82846), Nashik,4961
4790,Nigeria,From RDC,N/A - From RDC,Air Charter,60,28000,317800.0,11.35,0,"Aurobindo Unit III, India",3239,11637.64,India,7633
4791,Zambia,From RDC,N/A - From RDC,Truck,60,29683,86080.7,2.9,0,"Cipla, Goa, India",3254,8104.79,India,6906
4792,Uganda,From RDC,N/A - From RDC,Air,60,100,146.0,1.46,0,"Aurobindo Unit III, India",7,523.64,India,5524
4793,Vietnam,From RDC,N/A - From RDC,Air,60,6384,55923.84,8.76,0,"Aurobindo Unit III, India",579,3119.75,India,3157
4794,Haiti,From RDC,N/A - From RDC,Air,30,13577,78475.06,5.78,0,"Aurobindo Unit III, India",See DN-1605 (ID#:82284),See DN-1605 (ID#:82284),India,14446
4795,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,8676,50147.28,5.78,0,"Aurobindo Unit III, India",4845,5254.1,India,9091
4796,Uganda,From RDC,N/A - From RDC,Truck,60,380,3328.8,8.76,0,Mylan (formerly Matrix) Nashik,67,1549.83, Nashik,4961
4797,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,4319,11790.87,2.73,0,"Aurobindo Unit III, India",409,1083.3,India,9091
4798,Zambia,From RDC,N/A - From RDC,Truck,60,20602,133294.94,6.47,0,"Cipla, Goa, India",See DN-1643 (ID#:82293),See DN-1643 (ID#:82293),India,6906
4799,Zambia,From RDC,N/A - From RDC,Truck,60,50000,136500.0,2.73,0,"Cipla, Goa, India",See DN-1643 (ID#:82293),See DN-1643 (ID#:82293),India,6906
4800,Zambia,From RDC,N/A - From RDC,Truck,60,1541,9970.27,6.47,0,"Strides, Bangalore, India.",See DN-1643 (ID#:82293),See DN-1643 (ID#:82293),India,6906
4801,Zimbabwe,From RDC,N/A - From RDC,Truck,60,4000,13600.0,3.4,0,"Cipla, Goa, India",632,3302.14,India,6980
4802,Côte d'Ivoire,From RDC,N/A - From RDC,Air,90,2066,20804.62,10.07,0,"Aurobindo Unit III, India",1560,3688.33,India,9091
4803,Haiti,From RDC,N/A - From RDC,Air,60,84,126.0,1.5,0,"Aurobindo Unit III, India",See DN-1667 (ID#:82861),See DN-1667 (ID#:82861),India,14446
4804,Haiti,From RDC,N/A - From RDC,Air,240,3136,5958.4,1.9,0,"Cipla, Goa, India",See DN-1673 (ID#:83983),See DN-1673 (ID#:83983),India,14446
4805,Uganda,From RDC,N/A - From RDC,Air,30,5000,25650.0,5.13,0,"Aurobindo Unit III, India",456,5186.68,India,5524
4806,Côte d'Ivoire,From RDC,N/A - From RDC,Air,90,769,7743.83,10.07,0,"Aurobindo Unit III, India",93,4519.96,India,9091
4807,Nigeria,From RDC,N/A - From RDC,Air Charter,60,5000,43800.0,8.76,0,"Aurobindo Unit III, India",452,Freight Included in Commodity Cost,India,7633
4808,Nigeria,From RDC,N/A - From RDC,Air Charter,60,100000,1122000.0,11.22,0,"Aurobindo Unit III, India",11725,Freight Included in Commodity Cost,India,7633
4809,Nigeria,From RDC,N/A - From RDC,Air Charter,60,20518,230211.96,11.22,0,"Aurobindo Unit III, India",2407,Freight Included in Commodity Cost,India,7633
4810,Nigeria,From RDC,N/A - From RDC,Air Charter,30,40148,401480.0,10.0,0,Mylan (formerly Matrix) Nashik,3312,9736.1, Nashik,7134
4811,Nigeria,From RDC,N/A - From RDC,Air Charter,60,905,6787.5,7.5,0,Mylan (formerly Matrix) Nashik,47,Freight Included in Commodity Cost, Nashik,7134
4812,Uganda,From RDC,N/A - From RDC,Air,60,90,675.0,7.5,0,"Aurobindo Unit III, India",4,521.52,India,5524
4813,Rwanda,From RDC,N/A - From RDC,Air,60,25000,280500.0,11.22,0,"Aurobindo Unit III, India",2930,42573.95,India,5921
4814,Nigeria,From RDC,N/A - From RDC,Air Charter,30,210,997.5,4.75,0,"Aurobindo Unit III, India",19,9736.1,India,7633
4815,Nigeria,From RDC,N/A - From RDC,Air Charter,60,9924,74430.0,7.5,0,"Aurobindo Unit III, India",544,9736.1,India,7633
4816,Nigeria,From RDC,N/A - From RDC,Air Charter,30,1590,31672.8,19.92,0,Mylan (formerly Matrix) Nashik,174,9736.1, Nashik,7134
4817,Nigeria,From RDC,N/A - From RDC,Air Charter,60,46001,122362.66,2.66,0,"Strides, Bangalore, India.",2526,9736.1,India,7633
4818,Zambia,From RDC,N/A - From RDC,Truck,60,27440,240374.4,8.76,0,"Aurobindo Unit III, India",2475,4964.27,India,6906
4819,Zimbabwe,From RDC,N/A - From RDC,Air,60,298,1743.3,5.85,0,"Cipla, Goa, India",31,3833.17,India,6980
4820,Mozambique,From RDC,N/A - From RDC,Truck,60,46000,516120.0,11.22,0,Mylan (formerly Matrix) Nashik,See DN-1832 (ID#:82321),See DN-1832 (ID#:82321), Nashik,6074
4821,Uganda,From RDC,N/A - From RDC,Air,60,7800,47658.0,6.11,0,"Strides, Bangalore, India.",580,6637.05,India,5524
4822,Zimbabwe,From RDC,N/A - From RDC,Truck,30,5900,28025.0,4.75,0,"Aurobindo Unit III, India",509,3833.17,India,6980
4823,Uganda,From RDC,N/A - From RDC,Air,60,4782,53654.04,11.22,0,Mylan (formerly Matrix) Nashik,617,8676.9, Nashik,4961
4824,Haiti,From RDC,N/A - From RDC,Air,240,3168,6336.0,2.0,0,"Cipla, Goa, India",1765,18473.1,India,14446
4825,Uganda,From RDC,N/A - From RDC,Air,30,2797,32864.75,11.75,0,Mylan (formerly Matrix) Nashik,210,5841.92, Nashik,4961
4826,Rwanda,From RDC,N/A - From RDC,Air,60,5869,65850.18,11.22,0,Mylan (formerly Matrix) Nashik,758,8929.51, Nashik,5355
4827,Uganda,From RDC,N/A - From RDC,Air,30,950,4370.0,4.6,0,Mylan (formerly Matrix) Nashik,76,1017.15, Nashik,4961
4828,Mozambique,From RDC,N/A - From RDC,Air,60,3000,7980.0,2.66,0,"Strides, Bangalore, India.",210,1894.2,India,6624
4829,Nigeria,From RDC,N/A - From RDC,Air,60,46678,127430.94,2.73,0,"Aurobindo Unit III, India",4490,Freight Included in Commodity Cost,India,7633
4830,Nigeria,From RDC,N/A - From RDC,Air,30,28500,131100.0,4.6,0,"Aurobindo Unit III, India",2442,Freight Included in Commodity Cost,India,7633
4831,Nigeria,From RDC,N/A - From RDC,Air,30,804,3698.4,4.6,0,"Aurobindo Unit III, India",68,Freight Included in Commodity Cost,India,7633
4832,Nigeria,From RDC,N/A - From RDC,Air,60,200,1500.0,7.5,0,"Aurobindo Unit III, India",11,Freight Included in Commodity Cost,India,7633
4833,Nigeria,From RDC,N/A - From RDC,Air,90,500,4855.0,9.71,0,"Aurobindo Unit III, India",60,Freight Included in Commodity Cost,India,7633
4834,Tanzania,From RDC,N/A - From RDC,Air,60,23358,400356.12,17.14,0,Mylan (formerly Matrix) Nashik,2344,9309.52, Nashik,5091
4835,Nigeria,From RDC,N/A - From RDC,Air,60,23856,208978.56,8.76,0,Mylan (formerly Matrix) Nashik,1918,Freight Included in Commodity Cost, Nashik,7134
4836,Nigeria,From RDC,N/A - From RDC,Air,60,4674,40944.24,8.76,0,Mylan (formerly Matrix) Nashik,376,Freight Included in Commodity Cost, Nashik,7134
4837,Tanzania,From RDC,N/A - From RDC,Air,60,38500,105105.0,2.73,0,"Strides, Bangalore, India.",2695,13457.25,India,5659
4838,Zimbabwe,From RDC,N/A - From RDC,Air,60,5900,19352.0,3.28,0,"Cipla, Goa, India",See DN-1948 (ID#:82906),See DN-1948 (ID#:82906),India,6980
4839,Zimbabwe,From RDC,N/A - From RDC,Air,60,5880,42394.8,7.21,0,"Aurobindo Unit III, India",See DN-1948 (ID#:82906),See DN-1948 (ID#:82906),India,6980
4840,Zimbabwe,From RDC,N/A - From RDC,Air,60,560,4905.6,8.76,0,"Aurobindo Unit III, India",See DN-1948 (ID#:82906),See DN-1948 (ID#:82906),India,6980
4841,Nigeria,From RDC,N/A - From RDC,Air Charter,60,28868,323898.96,11.22,0,"Aurobindo Unit III, India",3570,6147.18,India,7633
4842,Haiti,From RDC,N/A - From RDC,Air,60,2280,16438.8,7.21,0,"Aurobindo Unit III, India",123,2136.1,India,14446
4843,Nigeria,From RDC,N/A - From RDC,Air Charter,30,30000,352500.0,11.75,0,Mylan (formerly Matrix) Nashik,2700,6147.18, Nashik,7134
4844,Nigeria,From RDC,N/A - From RDC,Air Charter,60,54125,607282.5,11.22,0,"Aurobindo Unit III, India",7050,6147.18,India,7633
4845,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,2436,5456.64,2.24,0,"Aurobindo Unit III, India",See DN-1984 (ID#:83453),See DN-1984 (ID#:83453),India,9091
4846,Nigeria,From RDC,N/A - From RDC,Air Charter,60,13104,35773.92,2.73,0,"Aurobindo Unit III, India",1448,6147.18,India,7633
4847,Nigeria,From RDC,N/A - From RDC,Air Charter,60,34801,95006.73,2.73,0,"Aurobindo Unit III, India",3951,6147.18,India,7633
4848,Tanzania,From RDC,N/A - From RDC,Air,30,15331,68222.95,4.45,0,"Strides, Bangalore, India.",4729,18390.42,India,5659
4849,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,632,9796.0,15.5,0,"Aurobindo Unit III, India",134,8815.65,India,9091
4850,Côte d'Ivoire,From RDC,N/A - From RDC,Truck,60,7925,21080.5,2.66,0,"Aurobindo Unit III, India",18041,8953.2,India,9091
4851,Zimbabwe,From RDC,N/A - From RDC,Truck,60,112100,642333.0,5.73,0,"Cipla, Goa, India",See DN-2019 (ID#:82919),See DN-2019 (ID#:82919),India,6980
4852,Uganda,From RDC,N/A - From RDC,Air,30,27304,118499.36,4.34,0,Mylan (formerly Matrix) Nashik,13087,56372.66, Nashik,4961
4853,Uganda,From RDC,N/A - From RDC,Air,60,31084,348762.48,11.22,0,Mylan (formerly Matrix) Nashik,See DN-2026 (ID#:84047),See DN-2026 (ID#:84047), Nashik,4961
4854,Nigeria,From RDC,N/A - From RDC,Air,60,2000,11460.0,5.73,0,"Cipla, Goa, India",See DN-2025 (ID#:83460),See DN-2025 (ID#:83460),India,7633
4855,Nigeria,From RDC,N/A - From RDC,Air,60,72023,615796.65,8.55,0,"Aurobindo Unit III, India",See DN-2025 (ID#:83460),See DN-2025 (ID#:83460),India,7633
4856,Zambia,From RDC,N/A - From RDC,Truck,60,36562,198531.66,5.43,0,"Cipla, Goa, India",See DN-2054 (ID#:83465),See DN-2054 (ID#:83465),India,6906
4857,Haiti,From RDC,N/A - From RDC,Air,60,36139,308988.45,8.55,0,"Aurobindo Unit III, India",7100,68243,India,14446
4858,Nigeria,From RDC,N/A - From RDC,Air Charter,30,50000,441000.0,8.82,0,Mylan (formerly Matrix) Nashik,4502,27457, Nashik,7134
4859,Uganda,From RDC,N/A - From RDC,Truck,60,69202,776446.44,11.22,0,"Aurobindo Unit III, India",9299,54009.25,India,5524
4860,Mozambique,From RDC,N/A - From RDC,Truck,60,23448,76909.44,3.28,0,"Cipla, Goa, India",1804,4815.8,India,6624
4861,Nigeria,From RDC,N/A - From RDC,Air Charter,60,6700,15611.0,2.33,0,"Aurobindo Unit III, India",426,43548,India,7633
4862,Côte d'Ivoire,From RDC,N/A - From RDC,Air,240,3660,6771.0,1.85,0,"Aurobindo Unit III, India",See DN-2106 (ID#:82933),See DN-2106 (ID#:82933),India,9091
4863,Zambia,From RDC,N/A - From RDC,Truck,30,200000,2184000.0,10.92,0,Mylan (formerly Matrix) Nashik,43128,34543.36, Nashik,6339
4864,Zambia,From RDC,N/A - From RDC,Truck,30,129998,1419578.16,10.92,0,Mylan (formerly Matrix) Nashik,11115,16482.05, Nashik,6339
4865,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,57456,255679.2,4.45,0,Mylan (formerly Matrix) Nashik,4720,18611.92, Nashik,8608
4866,Zambia,From RDC,N/A - From RDC,Truck,60,3355,19224.15,5.73,0,"Strides, Bangalore, India.",See DN-2125 (ID#:82941),See DN-2125 (ID#:82941),India,6906
4867,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,648,10044.0,15.5,0,"Aurobindo Unit III, India",138,17941.47,India,9091
4868,Tanzania,From RDC,N/A - From RDC,Air,30,3493,14740.46,4.22,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",2996,9639.1,India,5659
4869,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,1309,29452.5,22.5,0,Mylan (formerly Matrix) Nashik,See DN-2153 (ID#:82374),See DN-2153 (ID#:82374), Nashik,8608
4870,Mozambique,From RDC,N/A - From RDC,Truck,60,4050,9436.5,2.33,0,"Aurobindo Unit III, India",195,3495.81,India,6624
4871,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,11280,224697.6,19.92,0,Mylan (formerly Matrix) Nashik,1264,3380.35, Nashik,8608
4872,Nigeria,From RDC,N/A - From RDC,Air Charter,60,2000,11120.0,5.56,0,"Cipla, Goa, India",209,12601.07,India,7633
4873,Nigeria,From RDC,N/A - From RDC,Air Charter,30,60756,640368.24,10.54,0,Mylan (formerly Matrix) Nashik,5481,12601.07, Nashik,7134
4874,Nigeria,From RDC,N/A - From RDC,Air Charter,30,87744,370279.68,4.22,0,Mylan (formerly Matrix) Nashik,7194,12601.07, Nashik,7134
4875,Haiti,From RDC,N/A - From RDC,Air,60,2111,4918.63,2.33,0,"Aurobindo Unit III, India",101,1697.33,India,14446
4876,Zimbabwe,From RDC,N/A - From RDC,Truck,30,105,892.5,8.5,0,"Aurobindo Unit III, India",10,3403.99,India,6980
4877,Zimbabwe,From RDC,N/A - From RDC,Truck,30,45,495.0,11.0,0,"Aurobindo Unit III, India",See DN-2178 (ID#:84080),See DN-2178 (ID#:84080),India,6980
4878,Zambia,From RDC,N/A - From RDC,Truck,60,54869,127844.77,2.33,0,"Aurobindo Unit III, India",2630,3402.23,India,6906
4879,Zambia,From RDC,N/A - From RDC,Truck,60,120000,1026000.0,8.55,0,"Aurobindo Unit III, India",11057,12049.4,India,6906
4880,Mozambique,From RDC,N/A - From RDC,Truck,60,630,882.0,1.4,0,"Aurobindo Unit III, India",485,947.52,India,6624
4881,Zimbabwe,From RDC,N/A - From RDC,Truck,60,4669,14940.8,3.2,0,"Cipla, Goa, India",See DN-2205 (ID#:82950),See DN-2205 (ID#:82950),India,6980
4882,Nigeria,From RDC,N/A - From RDC,Air Charter,60,42371,109317.18,2.58,0,"Aurobindo Unit III, India",5262,13398,India,7633
4883,Nigeria,From RDC,N/A - From RDC,Air Charter,60,3173,7393.09,2.33,0,"Aurobindo Unit III, India",170,13398.06,India,7633
4884,Nigeria,From RDC,N/A - From RDC,Air Charter,60,15508,38925.08,2.51,0,"Strides, Bangalore, India.",1107,13398.06,India,7633
4885,Rwanda,From RDC,N/A - From RDC,Air Charter,240,1800,3330.0,1.85,0,"Aurobindo Unit III, India",718,4370.8,India,5921
4886,Haiti,From RDC,N/A - From RDC,Air,60,168,221.76,1.32,0,"Aurobindo Unit III, India",See DN-2263 (ID#:82959),See DN-2263 (ID#:82959),India,14446
4887,Mozambique,From RDC,N/A - From RDC,Truck,60,135900,1524798.0,11.22,0,"Aurobindo Unit III, India",See DN-2268 (ID#:82960),See DN-2268 (ID#:82960),India,6624
4888,Zimbabwe,From RDC,N/A - From RDC,Truck,60,36997,199043.86,5.38,0,"Cipla, Goa, India",See DN-2282 (ID#:82389),See DN-2282 (ID#:82389),India,6980
4889,Haiti,From RDC,N/A - From RDC,Air,60,180,2700.0,15.0,0,"Aurobindo Unit III, India",38,1128.54,India,14446
4890,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,1571,35347.5,22.5,0,Mylan (formerly Matrix) Nashik,151,3545.1, Nashik,8608
4891,Haiti,From RDC,N/A - From RDC,Air,60,30000,256500.0,8.55,0,"Aurobindo Unit III, India",See DN-2310 (ID#:82968),See DN-2310 (ID#:82968),India,14446
4892,Haiti,From RDC,N/A - From RDC,Air,30,27975,126447.0,4.52,0,"Strides, Bangalore, India.",1704,16881.16,India,14446
4893,Mozambique,From RDC,N/A - From RDC,Truck,240,9400,18988.0,2.02,0,"Aurobindo Unit III, India",3642,5678.14,India,6624
4894,Zambia,From RDC,N/A - From RDC,Truck,30,13154,262027.68,19.92,0,Mylan (formerly Matrix) Nashik,1456,3949.18, Nashik,6339
4895,Nigeria,From RDC,N/A - From RDC,Air Charter,60,267671,3003268.62,11.22,0,"Aurobindo Unit III, India",37993,18495.9,India,7633
4896,Zambia,From RDC,N/A - From RDC,Truck,30,135158,583882.56,4.32,0,"Aurobindo Unit III, India",17285,21454.88,India,6906
4897,Haiti,From RDC,N/A - From RDC,Air,60,3850,5390.0,1.4,0,"Aurobindo Unit III, India",230,2936.8,India,14446
4898,Zambia,From RDC,N/A - From RDC,Truck,60,19200,48192.0,2.51,0,Mylan (formerly Matrix) Nashik,1936,9421.76, Nashik,6339
4899,Côte d'Ivoire,From RDC,N/A - From RDC,Truck,60,1512,1995.84,1.32,0,"Aurobindo Unit III, India",360,3274.41,India,9091
4900,Côte d'Ivoire,From RDC,N/A - From RDC,Truck,30,3520,22598.4,6.42,0,Mylan (formerly Matrix) Nashik,197,3296.34, Nashik,8608
4901,Uganda,From RDC,N/A - From RDC,Truck,30,10000,41200.0,4.12,0,"Strides, Bangalore, India.",1051,39130.38,India,5524
4902,Tanzania,From RDC,N/A - From RDC,Truck,30,23940,214741.8,8.97,0,"Aurobindo Unit III, India",Weight Captured Separately,Invoiced Separately,India,5659
4903,Tanzania,From RDC,N/A - From RDC,Truck,60,6400,44928.0,7.02,0,Mylan (formerly Matrix) Nashik,355,2682.2, Nashik,5091
4904,Tanzania,From RDC,N/A - From RDC,Air,30,80000,1593600.0,19.92,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Freight Included in Commodity Cost, Nashik,5091
4905,Tanzania,From RDC,N/A - From RDC,Truck,30,20000,341600.0,17.08,0,Mylan (formerly Matrix) Nashik,2302,Freight Included in Commodity Cost, Nashik,5091
4906,Mozambique,From RDC,N/A - From RDC,Truck,240,8000,15600.0,1.95,0,"Aurobindo Unit III, India",2987,2779.53,India,6624
4907,Nigeria,From RDC,N/A - From RDC,Air Charter,30,53279,438486.17,8.23,0,Mylan (formerly Matrix) Nashik,5494,15322.73, Nashik,7134
4908,"Congo, DRC",From RDC,N/A - From RDC,Air,60,26,67.08,2.58,0,"Strides, Bangalore, India.",See DN-2492 (ID#:82999),See DN-2492 (ID#:82999),India,6583
4909,"Congo, DRC",From RDC,N/A - From RDC,Air,60,70,180.6,2.58,0,"Strides, Bangalore, India.",See DN-2493 (ID#:82432),See DN-2493 (ID#:82432),India,6583
4910,"Congo, DRC",From RDC,N/A - From RDC,Air,60,20,292.6,14.63,0,Mylan (formerly Matrix) Nashik,See DN-2494 (ID#:82433),See DN-2494 (ID#:82433), Nashik,6020
4911,"Congo, DRC",From RDC,N/A - From RDC,Air,60,75,619.5,8.26,0,"Aurobindo Unit III, India",See DN-2495 (ID#:83555),See DN-2495 (ID#:83555),India,6583
4912,"Congo, DRC",From RDC,N/A - From RDC,Air,60,30,330.0,11.0,0,Mylan (formerly Matrix) Nashik,See DN-2498 (ID#:83002),See DN-2498 (ID#:83002), Nashik,6020
4913,"Congo, DRC",From RDC,N/A - From RDC,Air,60,22,56.76,2.58,0,"Strides, Bangalore, India.",See DN-2498 (ID#:83002),See DN-2498 (ID#:83002),India,6583
4914,"Congo, DRC",From RDC,N/A - From RDC,Air,60,450,3717.0,8.26,0,"Aurobindo Unit III, India",See DN-2499 (ID#:83004),See DN-2499 (ID#:83004),India,6583
4915,"Congo, DRC",From RDC,N/A - From RDC,Air,120,50,1687.0,33.74,0,"Aurobindo Unit III, India",See DN-2499 (ID#:83004),See DN-2499 (ID#:83004),India,6583
4916,"Congo, DRC",From RDC,N/A - From RDC,Air,60,274,2263.24,8.26,0,"Aurobindo Unit III, India",See DN-2500 (ID#:82436),See DN-2500 (ID#:82436),India,6583
4917,"Congo, DRC",From RDC,N/A - From RDC,Air,240,163,317.85,1.95,0,"Aurobindo Unit III, India",See DN-2510 (ID#:82442),See DN-2510 (ID#:82442),India,6583
4918,Zambia,From RDC,N/A - From RDC,Truck,30,56386,232310.32,4.12,0,"Strides, Bangalore, India.",See DN-2532 (ID#:82448),See DN-2532 (ID#:82448),India,6906
4919,Haiti,From RDC,N/A - From RDC,Air,240,2808,5194.8,1.85,0,"Aurobindo Unit III, India",See DN-2535 (ID#:83011),See DN-2535 (ID#:83011),India,14446
4920,Tanzania,From RDC,N/A - From RDC,Truck,30,17440,95920.0,5.5,0,Mylan (formerly Matrix) Nashik,2612,1698.83, Nashik,5091
4921,Tanzania,From RDC,N/A - From RDC,Truck,60,15003,219493.89,14.63,0,Mylan (formerly Matrix) Nashik,See DN-2544 (ID#:84145),See DN-2544 (ID#:84145), Nashik,5091
4922,Uganda,From RDC,N/A - From RDC,Truck,60,534,1377.72,2.58,0,"Strides, Bangalore, India.",30,2030,India,5524
4923,Nigeria,From RDC,N/A - From RDC,Air Charter,30,22426,136350.08,6.08,0,Mylan (formerly Matrix) Nashik,1942,25231.96, Nashik,7134
4924,Tanzania,From RDC,N/A - From RDC,Truck,240,19026,37100.7,1.95,0,"Aurobindo Unit III, India",7096,3279.29,India,5659
4925,Tanzania,From RDC,N/A - From RDC,Truck,60,163735,695873.75,4.25,0,Mylan (formerly Matrix) Nashik,9208,3825.8, Nashik,5091
4926,Mozambique,From RDC,N/A - From RDC,Truck,60,14125,158482.5,11.22,0,Mylan (formerly Matrix) Nashik,See DN-2590 (ID#:83019),See DN-2590 (ID#:83019), Nashik,6074
4927,Côte d'Ivoire,From RDC,N/A - From RDC,Truck,60,75000,841500.0,11.22,0,Mylan (formerly Matrix) Nashik,10746,22878.26, Nashik,8608
4928,Côte d'Ivoire,From RDC,N/A - From RDC,Truck,60,7273,60074.98,8.26,0,"Cipla, Goa, India",650,4029.71,India,9091
4929,Zimbabwe,From RDC,N/A - From RDC,Truck,60,7150,21092.5,2.95,0,"Strides, Bangalore, India.",See DN-2621 (ID#:83583),See DN-2621 (ID#:83583),India,6980
4930,Rwanda,From RDC,N/A - From RDC,Air,240,1489,18612.5,12.5,0,"Aurobindo Unit III, India",557,5044.26,India,5921
4931,Zimbabwe,From RDC,N/A - From RDC,Truck,60,11574,127314.0,11.0,0,Mylan (formerly Matrix) Nashik,See DN-2621 (ID#:83583),See DN-2621 (ID#:83583), Nashik,6420
4932,Rwanda,From RDC,N/A - From RDC,Air,90,993,8579.52,8.64,0,"Aurobindo Unit III, India",126,1675,India,5921
4933,Tanzania,From RDC,N/A - From RDC,Truck,60,26300,119402.0,4.54,0,"Cipla, Goa, India",2278,7865.4,India,5659
4934,Tanzania,From RDC,N/A - From RDC,Truck,240,24307,47398.65,1.95,0,"Aurobindo Unit III, India",Weight Captured Separately,Invoiced Separately,India,5659
4935,Mozambique,From RDC,N/A - From RDC,Truck,240,26807,52273.65,1.95,0,"Aurobindo Unit III, India",9937,14700,India,6624
4936,Nigeria,From RDC,N/A - From RDC,Air Charter,60,48874,119252.56,2.44,0,"Aurobindo Unit III, India",4754,27441.21,India,7633
4937,Zimbabwe,From RDC,N/A - From RDC,Truck,60,3345,26024.1,7.78,0,Mylan (formerly Matrix) Nashik,See DN-2656 (ID#:83032),See DN-2656 (ID#:83032), Nashik,6420
4938,Zambia,From RDC,N/A - From RDC,Truck,60,13127,32948.77,2.51,0,"Aurobindo Unit III, India",1252,6079.27,India,6906
