,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
5123,Côte d'Ivoire,From RDC,RDC,Air,30,3120,81900,26,0.88,275,1949, Port Elizabeth,5690
5124,Côte d'Ivoire,From RDC,RDC,Air,100,2152,10760,5,0.05,3622,10181,India,9091
5125,Haiti,From RDC,RDC,Air,240,1069,2052,1,0.01,396,6036,India,14446
5126,Côte d'Ivoire,From RDC,RDC,Air,30,1596,3575,2,0.07,3622,10181,India,9091
5127,Côte d'Ivoire,From RDC,RDC,Air,60,6584,57675,8,0.15,3622,10181, Nashik,8608
5128,Côte d'Ivoire,From RDC,RDC,Air,240,1431,2747,1,0.01,3622,10181,India,9091
5129,Haiti,From RDC,RDC,Air,240,288,3916,13,0.06,3622,10181,India,14446
5130,Haiti,From RDC,RDC,Air,60,7056,10301,1,0.02,3622,10181,India,14446
5131,Côte d'Ivoire,From RDC,RDC,Air,240,2345,4455,1,0.01,3622,10181,India,9091
5132,Haiti,From RDC,RDC,Air,240,1628,3093,1,0.01,622,13122,India,14446
5133,Nigeria,From RDC,RDC,Air Charter,30,578,6791,11,0.39,47,10181, Nashik,7134
5134,Nigeria,From RDC,RDC,Air Charter,60,1500,9165,6,0.1,113,10181,India,7633
5135,Nigeria,From RDC,RDC,Air Charter,60,20,122,6,0.1,2,10181,India,7633
5136,Nigeria,From RDC,RDC,Air Charter,60,20000,224400,11,0.19,2347,9736,India,7633
5137,Nigeria,From RDC,RDC,Air Charter,60,270,2025,7,0.12,15,10181, Nashik,7134
5138,Uganda,From RDC,RDC,Truck,30,4200,21546,5,0.17,238,2021, Nashik,4961
5139,Uganda,From RDC,RDC,Truck,60,20000,224400,11,0.19,2356,16682,India,5524
5140,Uganda,From RDC,RDC,Truck,30,4500,24075,5,0.18,350,1854, Nashik,4961
5141,Uganda,From RDC,RDC,Truck,60,3000,33660,11,0.19,359,3302,India,5524
5142,Uganda,From RDC,RDC,Air,60,50,375,7,0.12,3622,10181,India,5524
5143,Uganda,From RDC,RDC,Air,30,5000,25650,5,0.17,3622,10181, Nashik,4961
5144,Tanzania,From RDC,RDC,Air,60,4800,13104,2,0.05,460,10181,India,5659
5145,Zambia,From RDC,RDC,Truck,60,2600,54574,20,0.35,8819,8022, Nashik,6339
5146,Nigeria,From RDC,RDC,Air Charter,90,309,8497,27,0.31,51,9736,India,7633
5147,Nigeria,From RDC,RDC,Air Charter,30,7118,33810,4,0.16,628,9736,India,7633
5148,Nigeria,From RDC,RDC,Air Charter,60,10076,75872,7,0.13,553,9736,India,7633
5149,Nigeria,From RDC,RDC,Air Charter,60,40000,448800,11,0.19,4693,9736,India,7633
5150,Uganda,From RDC,RDC,Air,60,200,1170,5,0.1,21,1000,India,5524
5151,Uganda,From RDC,RDC,Air,30,1621,7699,4,0.16,3622,10181, Nashik,4961
5152,Nigeria,From RDC,RDC,Air Charter,60,15299,40695,2,0.04,1792,9736,India,7633
5153,Nigeria,From RDC,RDC,Air Charter,60,488,4274,8,0.15,39,9736, Nashik,7134
5154,Côte d'Ivoire,From RDC,RDC,Air,30,45108,214263,4,0.16,9863,19150,India,9091
5155,Côte d'Ivoire,From RDC,RDC,Air,60,5664,13820,2,0.04,3622,10181,India,9091
5156,Côte d'Ivoire,From RDC,RDC,Air,200,4550,6370,1,0.01,3622,10181,India,9091
5157,Zimbabwe,From RDC,RDC,Truck,60,112100,655785,5,0.1,3622,10181,India,6980
5158,Zimbabwe,From RDC,RDC,Air,60,47390,277231,5,0.1,7112,3833,India,6980
5159,Haiti,From RDC,RDC,Air,30,34080,161880,4,0.16,3318,23890,India,14446
5160,Haiti,From RDC,RDC,Air,60,14875,130305,8,0.15,3622,10181, Nashik,14325
5161,Uganda,From RDC,RDC,Air,60,20000,224400,11,0.19,2560,20654, Nashik,4961
5162,Haiti,From RDC,RDC,Air,60,168,240,1,0.02,3622,10181,India,14446
5163,Uganda,From RDC,RDC,Air,30,17550,83362,4,0.16,1325,4600, Nashik,4961
5164,Côte d'Ivoire,From RDC,RDC,Air,30,1596,3575,2,0.07,3622,10181,India,9091
5165,Côte d'Ivoire,From RDC,RDC,Air,60,10980,26791,2,0.04,698,5121,India,9091
5166,Nigeria,From RDC,RDC,Air,60,1000,11220,11,0.19,117,10181,India,7633
5167,Nigeria,From RDC,RDC,Air,30,200,920,4,0.15,17,10181,India,7633
5168,Nigeria,From RDC,RDC,Air,30,188,864,4,0.15,16,10181,India,7633
5169,Nigeria,From RDC,RDC,Air,90,87,1827,21,0.23,42,10181,India,7633
5170,Nigeria,From RDC,RDC,Air,30,58500,1165320,19,0.66,6433,10181, Nashik,7134
5171,Haiti,From RDC,RDC,Air,60,31836,278883,8,0.15,2565,25670, Nashik,14325
5172,Mozambique,From RDC,RDC,Truck,60,30630,175509,5,0.1,3622,10181,India,6624
5173,Haiti,From RDC,RDC,Air,240,3840,7411,1,0.01,3622,10181,India,14446
5174,Nigeria,From RDC,RDC,Air Charter,60,6000,67320,11,0.19,789,6147,India,7633
5175,Côte d'Ivoire,From RDC,RDC,Air,60,12060,86952,7,0.12,3622,10181,India,9091
5176,Côte d'Ivoire,From RDC,RDC,Air,200,2400,3240,1,0.01,3622,10181,India,9091
5177,Côte d'Ivoire,From RDC,RDC,Air,60,6594,15364,2,0.04,3622,10181,India,9091
5178,Uganda,From RDC,RDC,Air,60,63148,539915,8,0.14,3622,10181,India,5524
5179,Uganda,From RDC,RDC,Air,30,71991,320359,4,0.15,7187,16285,India,5524
5180,Uganda,From RDC,RDC,Air,60,26991,230773,8,0.14,3622,10181,India,5524
5181,Côte d'Ivoire,From RDC,RDC,Air,60,6016,93248,15,0.26,3622,10181,India,9091
5182,Côte d'Ivoire,From RDC,RDC,Air,60,540,772,1,0.02,3622,10181,India,9091
5183,Côte d'Ivoire,From RDC,RDC,Truck,60,5624,18446,3,0.05,3622,10181, Nashik,8608
5184,Uganda,From RDC,RDC,Air,60,31932,358277,11,0.19,3622,10181,India,5524
5185,Tanzania,From RDC,RDC,Air,60,2864,22110,7,0.13,612,1979,India,5659
5186,Côte d'Ivoire,From RDC,RDC,Air,90,1785,17974,10,0.11,168,7816,India,9091
5187,Côte d'Ivoire,From RDC,RDC,Truck,200,2449,3306,1,0.01,3622,10181,India,9091
5188,Côte d'Ivoire,From RDC,RDC,Truck,60,2551,3647,1,0.02,3622,10181,India,9091
5189,Nigeria,From RDC,RDC,Air Charter,60,10000,25800,2,0.04,1130,20264,India,7633
5190,Mozambique,From RDC,RDC,Truck,30,30000,130200,4,0.14,3622,10181, Nashik,6074
5191,Mozambique,From RDC,RDC,Truck,60,30000,162900,5,0.09,3622,10181,India,6624
5192,Zambia,From RDC,RDC,Truck,60,3653,19835,5,0.09,3622,10181,India,6906
5193,Uganda,From RDC,RDC,Air,30,2661,53007,19,0.66,909,5166, Nashik,4961
5194,Haiti,From RDC,RDC,Air,60,53200,141512,2,0.04,3622,10181,India,14446
5195,Haiti,From RDC,RDC,Air,30,1778,3982,2,0.07,3622,10181,India,14446
5196,Côte d'Ivoire,From RDC,RDC,Air,60,600,9864,16,0.27,3622,10181,India,9091
5197,Côte d'Ivoire,From RDC,RDC,Air,200,6551,8778,1,0.01,3622,10181,India,9091
5198,Haiti,From RDC,RDC,Air,60,600,9864,16,0.27,3622,10181,India,14446
5199,Côte d'Ivoire,From RDC,RDC,Truck,30,9920,108326,10,0.36,3622,10181, Nashik,8608
5200,Haiti,From RDC,RDC,Air,60,5980,13933,2,0.04,3622,10181,India,14446
5201,Haiti,From RDC,RDC,Air,200,600,804,1,0.01,3622,10181,India,14446
5202,Uganda,From RDC,RDC,Truck,60,8988,100845,11,0.19,3622,10181, Nashik,4961
5203,Côte d'Ivoire,From RDC,RDC,Air,30,2240,14716,6,0.22,6542,18611, Nashik,8608
5204,Zimbabwe,From RDC,RDC,Truck,60,66645,370546,5,0.09,3622,10181,India,6980
5205,Zimbabwe,From RDC,RDC,Truck,60,1883,6025,3,0.05,3622,10181,India,6980
5206,Uganda,From RDC,RDC,Air,60,46113,332474,7,0.12,2534,16629,India,5524
5207,Haiti,From RDC,RDC,Air,120,1320,47731,36,0.3,276,2080,Germany,7877
5208,Côte d'Ivoire,From RDC,RDC,Air,60,99957,1121517,11,0.19,3622,10181,India,9091
5209,Côte d'Ivoire,From RDC,RDC,Air,60,3008,46624,15,0.26,3622,10181,India,9091
5210,Zambia,From RDC,RDC,Truck,60,4875,77463,15,0.26,2556,4471,India,6906
5211,Côte d'Ivoire,From RDC,RDC,Air,240,7420,13727,1,0.01,3622,10181,India,9091
5212,Tanzania,From RDC,RDC,Air,30,4738,19994,4,0.14,3622,10181, Nashik,5091
5213,Côte d'Ivoire,From RDC,RDC,Air,90,20,194,9,0.11,5,3380,India,9091
5214,Côte d'Ivoire,From RDC,RDC,Air,60,2383,36936,15,0.26,882,4516,India,9091
5215,Zimbabwe,From RDC,RDC,Truck,60,88719,493277,5,0.09,11668,15697,India,6980
5216,Zimbabwe,From RDC,RDC,Truck,60,22074,122731,5,0.09,3622,10181,India,6980
5217,Côte d'Ivoire,From RDC,RDC,Air,90,20,194,9,0.11,3,1355,India,9091
5218,Uganda,From RDC,RDC,Truck,30,6600,131472,19,0.66,720,4647, Nashik,4961
5219,Uganda,From RDC,RDC,Truck,30,2559,22570,8,0.29,338,3397, Nashik,4961
5220,Zimbabwe,From RDC,RDC,Truck,30,4250,9520,2,0.07,3622,10181,India,6980
5221,Zimbabwe,From RDC,RDC,Truck,60,69207,372333,5,0.09,3622,10181,India,6980
5222,Zimbabwe,From RDC,RDC,Truck,30,10114,87283,8,0.29,3622,10181, Nashik,6420
5223,Nigeria,From RDC,RDC,Air Charter,60,41142,103266,2,0.04,2822,12601,India,7633
5224,Nigeria,From RDC,RDC,Air Charter,60,53109,595882,11,0.19,19464,13398,India,7633
5225,Mozambique,From RDC,RDC,Truck,240,14000,27300,1,0.01,14413,5491,India,6624
5226,Zambia,From RDC,RDC,Truck,240,20000,36000,1,0.01,7482,6801,India,6906
5227,Uganda,From RDC,RDC,Truck,30,2011,13212,6,0.22,126,1661, Nashik,4961
5228,Tanzania,From RDC,RDC,Truck,30,54375,1083150,19,0.66,11129,13838, Nashik,5091
5229,Zimbabwe,From RDC,RDC,Truck,240,1191,16197,13,0.06,445,2143,India,6980
5230,Mozambique,From RDC,RDC,Truck,60,39636,338887,8,0.14,3666,3525,India,6624
5231,Haiti,From RDC,RDC,Air,240,5110,9862,1,0.01,1840,14866,India,14446
5232,Tanzania,From RDC,RDC,Truck,120,4389,148084,33,0.28,880,3175,Germany,6837
5233,Haiti,From RDC,RDC,Air,60,18958,162090,8,0.14,3622,10181, Nashik,14325
5234,Côte d'Ivoire,From RDC,RDC,Air,240,576,7200,12,0.05,212,1771,India,9091
5235,Zambia,From RDC,RDC,Truck,30,169985,1665853,9,0.33,18994,21077, Nashik,6339
5236,Côte d'Ivoire,From RDC,RDC,Air,30,62231,262614,4,0.14,3789,13956,India,9091
5237,Tanzania,From RDC,RDC,Truck,30,68235,1359241,19,0.66,83,2094, Nashik,5091
5238,Zambia,From RDC,RDC,Truck,30,72974,315247,4,0.14,4471,10370,India,6906
5239,Zimbabwe,From RDC,RDC,Truck,60,76,224,2,0.05,248,481,India,6980
5240,Nigeria,From RDC,RDC,Air Charter,30,18354,151053,8,0.27,1794,21326, Nashik,7134
5241,Zimbabwe,From RDC,RDC,Truck,60,30060,127755,4,0.07,1754,3537, Nashik,6420
5242,Côte d'Ivoire,From RDC,RDC,Air,60,5184,77760,15,0.25,1103,3296,India,9091
5243,Côte d'Ivoire,From RDC,RDC,Truck,30,3040,19516,6,0.21,3622,10181, Nashik,8608
5244,Uganda,From RDC,RDC,Truck,60,1529,12629,8,0.14,3622,10181,India,5524
5245,Nigeria,From RDC,RDC,Air Charter,30,15802,66684,4,0.14,1086,15322,India,7633
5246,Nigeria,From RDC,RDC,Air Charter,60,45042,505371,11,0.19,3622,10181,India,7633
5247,Côte d'Ivoire,From RDC,RDC,Air Charter,60,57061,471323,8,0.14,3622,10181,India,9091
5248,Zambia,From RDC,RDC,Truck,30,113925,1021907,8,0.3,9875,14325, Nashik,6339
5249,Tanzania,From RDC,RDC,Truck,60,23940,350242,14,0.24,1500,1698, Nashik,5091
5250,"Congo, DRC",From RDC,RDC,Air,30,27,111,4,0.14,3622,10181,India,6583
5251,"Congo, DRC",From RDC,RDC,Air,60,226,2486,11,0.18,3622,10181, Nashik,6020
5252,"Congo, DRC",From RDC,RDC,Air,120,20,674,33,0.28,3622,10181,India,6583
5253,"Congo, DRC",From RDC,RDC,Air,60,23,336,14,0.24,3622,10181, Nashik,6020
5254,"Congo, DRC",From RDC,RDC,Air,30,19,78,4,0.14,3622,10181,India,6583
5255,"Congo, DRC",From RDC,RDC,Air,120,17,573,33,0.28,3622,10181,India,6583
5256,"Congo, DRC",From RDC,RDC,Air,60,40,103,2,0.04,3622,10181,India,6583
5257,"Congo, DRC",From RDC,RDC,Air,60,9,131,14,0.24,3622,10181, Nashik,6020
5258,"Congo, DRC",From RDC,RDC,Air,60,45,371,8,0.14,3622,10181,India,6583
5259,"Congo, DRC",From RDC,RDC,Air,120,9,303,33,0.28,3622,10181,India,6583
5260,"Congo, DRC",From RDC,RDC,Air,60,680,7480,11,0.18,3622,10181, Nashik,6020
5261,"Congo, DRC",From RDC,RDC,Air,30,45,273,6,0.2,3622,10181, Nashik,6020
5262,Haiti,From RDC,RDC,Air,60,180,968,5,0.09,37,1221,India,14446
5263,Haiti,From RDC,RDC,Air,60,66672,733392,11,0.18,3622,10181,India,14446
5264,Uganda,From RDC,RDC,Truck,60,2596,6048,2,0.04,125,1831,India,5524
5265,Côte d'Ivoire,From RDC,RDC,Truck,30,10760,94150,8,0.29,3622,10181,India,9091
5266,Tanzania,From RDC,RDC,Truck,30,137269,579275,4,0.14,8474,3279,India,5659
5267,Uganda,From RDC,RDC,Truck,30,24657,101586,4,0.14,1511,7403,India,5524
5268,Uganda,From RDC,RDC,Air,30,11852,198283,16,0.56,1342,6340, Nashik,4961
5269,Zimbabwe,From RDC,RDC,Truck,60,3345,27629,8,0.14,3622,10181,India,6980
5270,Côte d'Ivoire,From RDC,RDC,Air,30,3765,41415,11,0.37,3622,10181,India,9091
5271,Rwanda,From RDC,RDC,Air,90,487,4207,8,0.1,66,585,India,5921
5272,Nigeria,From RDC,RDC,Air Charter,30,140273,777112,5,0.18,11734,27441, Nashik,7134
5273,Rwanda,From RDC,RDC,Air,30,24126,94332,3,0.13,1444,15842,India,5921
5274,Rwanda,From RDC,RDC,Air,240,1004,8534,8,0.04,1,3253,India,5921
5275,Zimbabwe,From RDC,RDC,Truck,60,4050,19035,4,0.08,3622,10181,India,6980
5276,Rwanda,From RDC,RDC,Air,60,30480,237134,7,0.13,698,26845, Nashik,5355
5277,Uganda,From RDC,RDC,Air,60,12974,31656,2,0.04,3622,10181, Nashik,4961
5278,Mozambique,From RDC,RDC,Truck,60,4050,19035,4,0.08,3622,10181,India,6624
5279,Rwanda,From RDC,RDC,Air,60,12000,157800,13,0.22,1239,28202, Nashik,5355
5280,Zimbabwe,From RDC,RDC,Truck,60,11574,119096,10,0.17,3622,10181, Nashik,6420
5281,Nigeria,From RDC,RDC,Air Charter,30,53000,376830,7,0.24,5252,21347,India,7633
5282,Zimbabwe,From RDC,RDC,Truck,30,78082,418519,5,0.18,3622,10181, Nashik,6420
5283,Uganda,From RDC,RDC,Truck,30,6150,92496,15,0.5,3622,10181, Nashik,4961
5284,Uganda,From RDC,RDC,Truck,30,804,3875,4,0.16,3622,10181, Nashik,4961
5285,Zambia,From RDC,RDC,Truck,60,16947,41011,2,0.04,1956,8709, Nashik,6339
5286,Côte d'Ivoire,From RDC,RDC,Air,60,336,2614,7,0.13,27,1845, Nashik,8608
5287,Nigeria,From RDC,RDC,Air Charter,30,41665,296238,7,0.24,5110,18461,India,7633
5288,Rwanda,From RDC,RDC,Air,60,6985,91852,13,0.22,718,12688,India,5921
5289,Rwanda,From RDC,RDC,Air,30,2000,7820,3,0.13,3622,10181,India,5921
5290,Côte d'Ivoire,From RDC,RDC,Truck,60,2050,57400,28,0.47,312,2128, Nashik,8608
5291,Côte d'Ivoire,From RDC,RDC,Truck,120,13033,381997,29,0.24,3622,10181,India,9091
5292,Côte d'Ivoire,From RDC,RDC,Truck,30,40230,533852,13,0.44,4525,11874, Nashik,8608
5293,Côte d'Ivoire,From RDC,RDC,Truck,60,75000,735750,9,0.16,14413,11874, Nashik,8608
5294,Tanzania,From RDC,RDC,Air,30,90000,342900,3,0.13,7867,21567,India,5659
5295,Uganda,From RDC,RDC,Air,60,36000,87840,2,0.04,2026,10095,India,5524
5296,Uganda,From RDC,RDC,Air,60,635,1549,2,0.04,1779,9325,India,5524
5297,Zimbabwe,From RDC,RDC,Truck,60,60794,147121,2,0.04,6003,7423, Nashik,6420
5298,Côte d'Ivoire,From RDC,RDC,Truck,30,34760,132435,3,0.13,3367,12589,India,9091
5299,Côte d'Ivoire,From RDC,RDC,Truck,30,5308,20223,3,0.13,3622,10181,India,9091
5300,Rwanda,From RDC,RDC,Air,120,965,28641,29,0.25,3622,10181, Nashik,5355
5301,Mozambique,From RDC,RDC,Truck,30,22122,84284,3,0.13,1409,3855,India,6624
5302,Uganda,From RDC,RDC,Air,60,7126,55012,7,0.13,3622,10181, Nashik,4961
5303,Tanzania,From RDC,RDC,Truck,60,13784,178640,12,0.22,3622,10181, Nashik,5091
5304,Tanzania,From RDC,RDC,Truck,60,1975,4542,2,0.04,3622,10181,India,5659
5305,Nigeria,From RDC,RDC,Air,30,120954,440272,3,0.12,11369,15459,India,7633
5306,Nigeria,From RDC,RDC,Air,90,2548,21046,8,0.09,370,15459,India,7633
5307,Zimbabwe,From RDC,RDC,Truck,60,53733,148303,2,0.05,2232,6933, Nashik,6420
5308,Uganda,From RDC,RDC,Air,60,2067,26788,12,0.22,220,1616, Nashik,4961
5309,Zimbabwe,From RDC,RDC,Truck,60,35061,237012,6,0.11,2247,8194,India,6980
5310,Haiti,From RDC,RDC,Air,60,1980,25660,12,0.22,3622,10181,India,14446
5311,Haiti,From RDC,RDC,Air,60,9696,93275,9,0.16,3622,10181, Nashik,14325
5312,Côte d'Ivoire,From RDC,RDC,Truck,60,36180,279309,7,0.13,2907,11320, Nashik,8608
5313,Nigeria,From RDC,RDC,Air,60,728,1761,2,0.04,3622,10181,India,7633
5314,Côte d'Ivoire,From RDC,RDC,Truck,30,7640,27809,3,0.12,3622,10181,India,9091
5315,Tanzania,From RDC,RDC,Truck,60,10727,46126,4,0.07,945,7579,India,5659
5316,Côte d'Ivoire,From RDC,RDC,Truck,60,5701,23659,4,0.07,338,3487, Nashik,8608
5317,Uganda,From RDC,RDC,Air,60,1485,11464,7,0.13,3622,10181, Nashik,4961
5318,Zimbabwe,From RDC,RDC,Truck,30,636,2264,3,0.12,3622,10181,India,6980
5319,Zimbabwe,From RDC,RDC,Truck,60,3600,26172,7,0.12,3622,10181,India,6980
5320,Nigeria,From RDC,RDC,Air Charter,30,8326,53119,6,0.21,3622,10181,India,7633
5321,Nigeria,From RDC,RDC,Air Charter,60,49295,113871,2,0.04,12032,29780,India,7633
5322,Uganda,From RDC,RDC,Air,120,12440,308014,24,0.21,3622,10181,India,5524
5323,Uganda,From RDC,RDC,Air,30,240,969,4,0.13,3622,10181, Nashik,4961
5324,Haiti,From RDC,RDC,Air,60,562,1292,2,0.04,3622,10181,India,14446
5325,Zimbabwe,From RDC,RDC,Truck,60,3600,26172,7,0.12,3622,10181,India,6980
5326,Uganda,From RDC,RDC,Air,60,25680,186693,7,0.12,3988,39037,India,5524
5327,Haiti,From RDC,RDC,Air,60,216,285,1,0.02,165,3048,India,14446
5328,Haiti,From RDC,RDC,Air,60,7392,16705,2,0.04,3622,10181,India,14446
5329,Côte d'Ivoire,From RDC,RDC,Truck,30,4500,18180,4,0.13,3622,10181, Nashik,8608
5330,Zimbabwe,From RDC,RDC,Truck,30,20160,244137,12,0.4,2268,9405, Nashik,6420
5331,Mozambique,From RDC,RDC,Truck,30,97351,1178920,12,0.4,11667,4120, Nashik,6074
5332,Zimbabwe,From RDC,RDC,Truck,240,442,5339,12,0.05,118,8600,India,6980
5333,Côte d'Ivoire,From RDC,RDC,Truck,60,86152,626325,7,0.12,3622,10181,India,9091
5334,Uganda,From RDC,RDC,Truck,30,192,775,4,0.13,3622,10181, Nashik,4961
5335,Nigeria,From RDC,RDC,Air Charter,30,80000,266400,3,0.11,4847,14547,India,7633
5336,Uganda,From RDC,RDC,Truck,60,3173,22211,7,0.12,3622,10181,India,5524
5337,Tanzania,From RDC,RDC,Truck,60,12106,52055,4,0.07,3622,10181,India,5659
5338,Zambia,From RDC,RDC,Truck,30,249965,3239546,12,0.43,28182,17650, Nashik,6339
5339,Zambia,From RDC,RDC,Truck,60,87384,611688,7,0.12,3622,10181,India,6906
5340,Mozambique,From RDC,RDC,Truck,30,7044,74102,10,0.35,3622,10181, Nashik,6074
5341,Nigeria,From RDC,RDC,Air Charter,30,63610,211821,3,0.11,3622,10181,India,7633
5342,Zambia,From RDC,RDC,Truck,60,120000,271200,2,0.04,11419,11941,India,6906
5343,Nigeria,From RDC,RDC,Air Charter,120,3831,83439,21,0.18,1094,20761,India,7633
5344,Zimbabwe,From RDC,RDC,Truck,60,23090,52183,2,0.04,394,11133,India,6980
5345,Côte d'Ivoire,From RDC,RDC,Truck,30,3000,12120,4,0.13,188,1478, Nashik,8608
5346,Côte d'Ivoire,From RDC,RDC,Truck,30,1644,6641,4,0.13,97,1620, Nashik,8608
5347,Nigeria,From RDC,RDC,Air Charter,120,63353,1330413,21,0.18,32671,10181, Nashik,7134
5348,Nigeria,From RDC,RDC,Air Charter,120,43169,906549,21,0.18,3622,10181,India,7633
5349,Uganda,From RDC,RDC,Air,120,12022,243084,20,0.17,3622,10181,Germany,5868
5350,"Congo, DRC",From RDC,RDC,Air,60,20697,177580,8,0.14,3622,10181, Nashik,6020
5351,Mozambique,From RDC,RDC,Truck,60,43680,285667,6,0.11,6535,5950,India,6624
5352,Tanzania,From RDC,RDC,Truck,30,19086,112034,5,0.2,3622,10181,India,5659
5353,Tanzania,From RDC,RDC,Truck,60,3342,38299,11,0.19,3622,10181,India,5659
5354,Uganda,From RDC,RDC,Truck,60,2880,33004,11,0.19,3622,10181,India,5524
5355,Zimbabwe,From RDC,RDC,Truck,240,435,5254,12,0.05,116,3100,India,6980
5356,Tanzania,From RDC,RDC,Truck,60,80322,312452,3,0.06,3622,10181, Nashik,5091
5357,Zambia,From RDC,RDC,Truck,60,14404,56031,3,0.06,3622,10181,India,6906
5358,Mozambique,From RDC,RDC,Truck,60,87707,378894,4,0.07,3622,10181,India,6624
5359,Mozambique,From RDC,RDC,Truck,60,21984,159823,7,0.12,3622,10181,India,6624
5360,Tanzania,From RDC,RDC,Truck,90,5117,47588,9,0.1,333,1956,India,5659
5361,Zambia,From RDC,RDC,Truck,30,66205,814321,12,0.41,12121,10181, Nashik,6339
5362,Zambia,From RDC,RDC,Truck,30,100619,1237613,12,0.41,47387,30981,India,6906
5363,Nigeria,From RDC,RDC,Air Charter,30,100000,1115000,11,0.37,3622,10181, Nashik,7134
5364,Zambia,From RDC,RDC,Truck,60,11833,135606,11,0.19,3622,10181, Nashik,6339
5365,Nigeria,From RDC,RDC,Air Charter,60,4068,25425,6,0.1,268,20225,India,7633
5366,Rwanda,From RDC,RDC,Truck,240,6816,58004,8,0.04,3622,10181,India,5921
5367,Rwanda,From RDC,RDC,Truck,30,64500,719175,11,0.37,7248,11571, Nashik,5355
5368,Tanzania,From RDC,RDC,Truck,60,9301,21392,2,0.04,3622,10181,India,5659
5369,Tanzania,From RDC,RDC,Truck,60,7894,33944,4,0.07,3622,10181,India,5659
5370,Côte d'Ivoire,From RDC,RDC,Air,60,2200,8250,3,0.06,192,3649,India,9091
5371,Zimbabwe,From RDC,RDC,Truck,60,841,3153,3,0.06,73,1500,India,6980
5372,Côte d'Ivoire,From RDC,RDC,Air,240,4000,7440,1,0.01,1928,8050,India,9091
5373,"Congo, DRC",From RDC,RDC,Air,120,2300,47104,20,0.17,613,4676, Nashik,6020
5374,Tanzania,From RDC,RDC,Truck,60,25000,157500,6,0.1,2266,2352,India,5659
5375,Tanzania,From RDC,RDC,Truck,60,16357,185815,11,0.19,1635,6007,India,5659
5376,Côte d'Ivoire,From RDC,RDC,Air,60,8201,30753,3,0.06,3622,10181,India,9091
5377,Côte d'Ivoire,From RDC,RDC,Truck,60,1915,7660,4,0.07,3622,10181,India,9091
5378,Nigeria,From RDC,RDC,Air Charter,60,255001,2106308,8,0.14,60779,30936, Nashik,7134
5379,Zimbabwe,From RDC,RDC,Truck,90,5923,55083,9,0.1,365,3481,India,6980
5380,Mozambique,From RDC,RDC,Truck,60,25000,168250,6,0.11,3622,10181,India,6624
5381,"Congo, DRC",From RDC,RDC,Air,60,2723,18325,6,0.11,3622,10181, Nashik,6020
5382,"Congo, DRC",From RDC,RDC,Air,120,777,15912,20,0.17,3622,10181, Nashik,6020
5383,"Congo, DRC",From RDC,RDC,Air,240,630,1171,1,0.01,3622,10181,India,6583
5384,Zambia,From RDC,RDC,Truck,60,1209,2696,2,0.04,609,3526,India,6906
5385,Côte d'Ivoire,From RDC,RDC,Air,240,13000,18590,1,0.01,3622,10181,India,9091
5386,Uganda,From RDC,RDC,Truck,60,3757,25284,6,0.11,3622,10181,India,5524
5387,Tanzania,From RDC,RDC,Truck,120,33086,664036,20,0.17,5065,2352, Nashik,5091
5388,Nigeria,From RDC,RDC,Air Charter,120,15826,299111,18,0.16,3814,29674,Germany,4614
5389,Côte d'Ivoire,From RDC,RDC,Air,30,3300,12474,3,0.13,259,1008, Nashik,8608
5390,Côte d'Ivoire,From RDC,RDC,Truck,30,3291,44494,13,0.45,3622,10181,India,9091
5391,Côte d'Ivoire,From RDC,RDC,Truck,30,3709,50145,13,0.45,3622,10181,India,9091
5392,Côte d'Ivoire,From RDC,RDC,Truck,60,75235,610155,8,0.14,9080,34551,India,9091
5393,Haiti,From RDC,RDC,Air,60,2581,9678,3,0.06,110,1955,India,14446
5394,Côte d'Ivoire,From RDC,RDC,Truck,120,54000,1020600,18,0.16,11971,44448,Germany,5008
5395,Nigeria,From RDC,RDC,Air Charter,60,92125,608025,6,0.11,7982,45180, Nashik,7134
5396,Nigeria,From RDC,RDC,Air Charter,90,10534,97966,9,0.1,2,45180,India,7633
5397,Zambia,From RDC,RDC,Air,100,6778,8811,1,0.01,1358,3150,India,6906
5398,Mozambique,From RDC,RDC,Truck,30,30000,96300,3,0.11,3622,10181,India,6624
5399,Mozambique,From RDC,RDC,Truck,30,2555,34543,13,0.45,227,227, Nashik,6074
5400,Mozambique,From RDC,RDC,Truck,30,20340,65291,3,0.11,1242,9384,India,6624
5401,Tanzania,From RDC,RDC,Truck,120,14758,278926,18,0.16,3030,2994,Germany,6837
5402,Tanzania,From RDC,RDC,Air,100,28464,37003,1,0.01,3622,10181,India,5659
5403,Zimbabwe,From RDC,RDC,Truck,240,301,0,0,0.0,3622,10181,India,6980
5404,Mozambique,From RDC,RDC,Truck,30,8283,26588,3,0.11,3622,10181,India,6624
5405,Mozambique,From RDC,RDC,Truck,30,108650,348766,3,0.11,9741,9360,India,6624
5406,Zimbabwe,From RDC,RDC,Truck,60,48253,105191,2,0.04,3622,10181,India,6980
5407,Mozambique,From RDC,RDC,Truck,60,26700,66483,2,0.04,1307,1482,India,6624
5408,"Congo, DRC",From RDC,RDC,Air,30,1540,5821,3,0.13,3622,10181, Nashik,6020
5409,Rwanda,From RDC,RDC,Air,60,2274,8527,3,0.06,100,1511,India,5921
